,Mo_4dx2-y2
-61.369499999999995,0.0011225200000000001
-61.359500000000004,0.0007872700000000003
-61.3495,0.00054563
-61.339499999999994,0.0003740799999999999
-61.3295,0.0002538399999999999
-61.3195,0.00017046999999999996
-61.30949999999999,0.00011307799999999994
-61.2995,7.431300000000005e-05
-61.2895,4.8311999999999994e-05
-61.279500000000006,3.1069000000000004e-05
-61.2695,1.977900000000001e-05
-61.259499999999996,1.2442499999999996e-05
-61.249500000000005,7.754200000000004e-06
-61.2395,4.7795e-06
-61.229499999999994,2.9130999999999993e-06
-61.219500000000004,1.7572999999999999e-06
-61.2095,1.0492600000000004e-06
-61.19949999999999,6.193300000000001e-07
-61.1895,3.6188000000000006e-07
-61.1795,2.0911999999999985e-07
-61.169500000000006,1.1966299999999998e-07
-61.1595,6.768399999999999e-08
-61.149499999999996,3.789e-08
-61.139500000000005,2.0983999999999998e-08
-61.1295,1.14954e-08
-61.119499999999995,6.2335000000000025e-09
-61.109500000000004,3.3424000000000004e-09
-61.0995,1.7741000000000003e-09
-61.089499999999994,9.3072e-10
-61.0795,4.837200000000001e-10
-61.0695,2.4863999999999993e-10
-61.05949999999999,1.26492e-10
-61.0495,6.3608e-11
-61.0395,3.1666e-11
-61.029500000000006,1.55779e-11
-61.0195,7.488499999999997e-12
-61.009499999999996,3.5590999999999992e-12
-60.999500000000005,1.3427099999999996e-12
-60.9895,2.0901135234045585e-13
-60.979499999999994,8.816958018602749e-14
-60.969500000000004,0.0
-60.9595,0.0
-60.94949999999999,0.0
-60.9395,0.0
-60.9295,0.0
-60.919500000000006,0.0
-60.9095,0.0
-60.899499999999996,0.0
-60.889500000000005,0.0
-60.8795,0.0
-60.869499999999995,0.0
-60.859500000000004,0.0
-60.8495,0.0
-60.839499999999994,0.0
-60.8295,0.0
-60.8195,0.0
-60.80949999999999,0.0
-60.7995,0.0
-60.7895,0.0
-60.779500000000006,0.0
-60.7695,0.0
-60.759499999999996,0.0
-60.749500000000005,0.0
-60.7395,0.0
-60.729499999999994,0.0
-60.719500000000004,0.0
-60.7095,0.0
-60.69949999999999,0.0
-60.6895,0.0
-60.6795,0.0
-60.669500000000006,0.0
-60.6595,0.0
-60.649499999999996,0.0
-60.639500000000005,0.0
-60.6295,0.0
-60.619499999999995,0.0
-60.609500000000004,0.0
-60.5995,0.0
-60.589499999999994,0.0
-60.5795,0.0
-60.5695,0.0
-60.55949999999999,0.0
-60.5495,0.0
-60.5395,0.0
-60.529500000000006,0.0
-60.5195,0.0
-60.509499999999996,0.0
-60.499500000000005,0.0
-60.4895,0.0
-60.479499999999994,0.0
-60.469500000000004,0.0
-60.4595,0.0
-60.44949999999999,0.0
-60.4395,0.0
-60.4295,0.0
-60.419500000000006,0.0
-60.4095,0.0
-60.399499999999996,0.0
-60.389500000000005,0.0
-60.3795,0.0
-60.369499999999995,0.0
-60.359500000000004,0.0
-60.3495,0.0
-60.339499999999994,0.0
-60.3295,0.0
-60.3195,0.0
-60.30949999999999,0.0
-60.2995,0.0
-60.2895,0.0
-60.279500000000006,0.0
-60.2695,0.0
-60.259499999999996,0.0
-60.249500000000005,0.0
-60.2395,0.0
-60.229499999999994,0.0
-60.219500000000004,0.0
-60.2095,0.0
-60.19949999999999,0.0
-60.1895,0.0
-60.1795,0.0
-60.169500000000006,0.0
-60.1595,0.0
-60.149499999999996,0.0
-60.139500000000005,0.0
-60.1295,0.0
-60.119499999999995,0.0
-60.109500000000004,0.0
-60.0995,0.0
-60.089499999999994,0.0
-60.0795,0.0
-60.0695,0.0
-60.05949999999999,0.0
-60.0495,0.0
-60.0395,0.0
-60.029500000000006,0.0
-60.0195,0.0
-60.009499999999996,0.0
-59.999500000000005,0.0
-59.9895,0.0
-59.979499999999994,0.0
-59.969500000000004,0.0
-59.9595,0.0
-59.94949999999999,0.0
-59.9395,0.0
-59.9295,0.0
-59.919500000000006,0.0
-59.9095,0.0
-59.899499999999996,0.0
-59.889500000000005,0.0
-59.8795,0.0
-59.869499999999995,0.0
-59.859500000000004,0.0
-59.8495,0.0
-59.839499999999994,0.0
-59.8295,0.0
-59.8195,0.0
-59.80949999999999,0.0
-59.7995,0.0
-59.7895,0.0
-59.779500000000006,0.0
-59.7695,0.0
-59.759499999999996,0.0
-59.749500000000005,0.0
-59.7395,0.0
-59.729499999999994,0.0
-59.719500000000004,0.0
-59.7095,0.0
-59.69949999999999,0.0
-59.6895,0.0
-59.6795,0.0
-59.669500000000006,0.0
-59.6595,0.0
-59.649499999999996,0.0
-59.639500000000005,0.0
-59.6295,0.0
-59.619499999999995,0.0
-59.609500000000004,0.0
-59.5995,0.0
-59.589499999999994,0.0
-59.5795,0.0
-59.5695,0.0
-59.55949999999999,0.0
-59.5495,0.0
-59.5395,0.0
-59.529500000000006,0.0
-59.5195,0.0
-59.509499999999996,0.0
-59.499500000000005,0.0
-59.4895,0.0
-59.479499999999994,0.0
-59.469500000000004,0.0
-59.4595,0.0
-59.44949999999999,0.0
-59.4395,0.0
-59.4295,0.0
-59.419500000000006,0.0
-59.4095,0.0
-59.399499999999996,0.0
-59.389500000000005,0.0
-59.3795,0.0
-59.369499999999995,0.0
-59.359500000000004,0.0
-59.3495,0.0
-59.339499999999994,0.0
-59.3295,0.0
-59.3195,0.0
-59.30949999999999,0.0
-59.2995,0.0
-59.2895,0.0
-59.279500000000006,0.0
-59.2695,0.0
-59.259499999999996,0.0
-59.249500000000005,0.0
-59.2395,0.0
-59.229499999999994,0.0
-59.219500000000004,0.0
-59.2095,0.0
-59.19949999999999,0.0
-59.1895,0.0
-59.1795,0.0
-59.169500000000006,0.0
-59.1595,0.0
-59.149499999999996,0.0
-59.139500000000005,0.0
-59.1295,0.0
-59.119499999999995,0.0
-59.109500000000004,0.0
-59.0995,0.0
-59.089499999999994,0.0
-59.0795,0.0
-59.0695,0.0
-59.05949999999999,0.0
-59.0495,0.0
-59.0395,0.0
-59.029500000000006,0.0
-59.0195,0.0
-59.009499999999996,0.0
-58.999500000000005,0.0
-58.9895,0.0
-58.9795,0.0
-58.9695,0.0
-58.9595,0.0
-58.9495,0.0
-58.9395,0.0
-58.9295,0.0
-58.9195,0.0
-58.9095,0.0
-58.8995,0.0
-58.8895,0.0
-58.8795,0.0
-58.8695,0.0
-58.8595,0.0
-58.8495,0.0
-58.8395,0.0
-58.8295,0.0
-58.8195,0.0
-58.8095,0.0
-58.7995,0.0
-58.7895,0.0
-58.7795,0.0
-58.7695,0.0
-58.7595,0.0
-58.7495,0.0
-58.7395,0.0
-58.7295,0.0
-58.7195,0.0
-58.7095,0.0
-58.6995,0.0
-58.6895,0.0
-58.6795,0.0
-58.6695,0.0
-58.6595,0.0
-58.6495,0.0
-58.6395,0.0
-58.6295,0.0
-58.6195,0.0
-58.6095,0.0
-58.5995,0.0
-58.5895,0.0
-58.5795,0.0
-58.5695,0.0
-58.5595,0.0
-58.5495,0.0
-58.5395,0.0
-58.5295,0.0
-58.5195,0.0
-58.5095,0.0
-58.4995,0.0
-58.4895,0.0
-58.4795,0.0
-58.4695,0.0
-58.4595,0.0
-58.4495,0.0
-58.4395,0.0
-58.4295,0.0
-58.4195,0.0
-58.4095,0.0
-58.3995,0.0
-58.3895,0.0
-58.3795,0.0
-58.3695,0.0
-58.3595,0.0
-58.3495,0.0
-58.3395,0.0
-58.3295,0.0
-58.3195,0.0
-58.3095,0.0
-58.2995,0.0
-58.2895,0.0
-58.2795,0.0
-58.2695,0.0
-58.2595,0.0
-58.2495,0.0
-58.2395,0.0
-58.2295,0.0
-58.2195,0.0
-58.2095,0.0
-58.1995,0.0
-58.1895,0.0
-58.1795,0.0
-58.1695,0.0
-58.1595,0.0
-58.1495,0.0
-58.1395,0.0
-58.1295,0.0
-58.1195,0.0
-58.1095,0.0
-58.0995,0.0
-58.0895,0.0
-58.0795,0.0
-58.0695,0.0
-58.0595,0.0
-58.0495,0.0
-58.0395,0.0
-58.0295,0.0
-58.0195,0.0
-58.0095,0.0
-57.9995,0.0
-57.9895,0.0
-57.9795,0.0
-57.9695,0.0
-57.9595,0.0
-57.9495,0.0
-57.9395,0.0
-57.9295,0.0
-57.9195,0.0
-57.9095,0.0
-57.8995,0.0
-57.8895,0.0
-57.8795,0.0
-57.8695,0.0
-57.8595,0.0
-57.8495,0.0
-57.8395,0.0
-57.8295,0.0
-57.8195,0.0
-57.8095,0.0
-57.7995,0.0
-57.7895,0.0
-57.7795,0.0
-57.7695,0.0
-57.7595,0.0
-57.7495,0.0
-57.7395,0.0
-57.7295,0.0
-57.7195,0.0
-57.7095,0.0
-57.6995,0.0
-57.6895,0.0
-57.6795,0.0
-57.6695,0.0
-57.6595,0.0
-57.6495,0.0
-57.6395,0.0
-57.6295,0.0
-57.6195,0.0
-57.6095,0.0
-57.5995,0.0
-57.5895,0.0
-57.5795,0.0
-57.5695,0.0
-57.5595,0.0
-57.5495,0.0
-57.5395,0.0
-57.5295,0.0
-57.5195,0.0
-57.5095,0.0
-57.4995,0.0
-57.4895,0.0
-57.4795,0.0
-57.4695,0.0
-57.4595,0.0
-57.4495,0.0
-57.4395,0.0
-57.4295,0.0
-57.4195,0.0
-57.4095,0.0
-57.3995,0.0
-57.3895,0.0
-57.3795,0.0
-57.3695,0.0
-57.3595,0.0
-57.3495,0.0
-57.3395,0.0
-57.3295,0.0
-57.3195,0.0
-57.3095,0.0
-57.2995,0.0
-57.2895,0.0
-57.2795,0.0
-57.2695,0.0
-57.2595,0.0
-57.2495,0.0
-57.2395,0.0
-57.2295,0.0
-57.2195,0.0
-57.2095,0.0
-57.1995,0.0
-57.1895,0.0
-57.1795,0.0
-57.1695,0.0
-57.1595,0.0
-57.1495,0.0
-57.1395,0.0
-57.1295,0.0
-57.1195,0.0
-57.1095,0.0
-57.0995,0.0
-57.0895,0.0
-57.0795,0.0
-57.0695,0.0
-57.0595,0.0
-57.0495,0.0
-57.0395,0.0
-57.0295,0.0
-57.0195,0.0
-57.0095,0.0
-56.9995,0.0
-56.9895,0.0
-56.9795,0.0
-56.9695,0.0
-56.9595,0.0
-56.9495,0.0
-56.9395,0.0
-56.9295,0.0
-56.9195,0.0
-56.9095,0.0
-56.8995,0.0
-56.8895,0.0
-56.8795,0.0
-56.8695,0.0
-56.8595,0.0
-56.8495,0.0
-56.8395,0.0
-56.8295,0.0
-56.8195,0.0
-56.8095,0.0
-56.7995,0.0
-56.7895,0.0
-56.7795,0.0
-56.7695,0.0
-56.7595,0.0
-56.7495,0.0
-56.7395,0.0
-56.7295,0.0
-56.7195,0.0
-56.7095,0.0
-56.6995,0.0
-56.6895,0.0
-56.6795,0.0
-56.6695,0.0
-56.6595,0.0
-56.6495,0.0
-56.6395,0.0
-56.6295,0.0
-56.6195,0.0
-56.6095,0.0
-56.5995,0.0
-56.5895,0.0
-56.5795,0.0
-56.5695,0.0
-56.5595,0.0
-56.5495,0.0
-56.5395,0.0
-56.5295,0.0
-56.5195,0.0
-56.5095,0.0
-56.4995,0.0
-56.4895,0.0
-56.4795,0.0
-56.4695,0.0
-56.4595,0.0
-56.4495,0.0
-56.4395,0.0
-56.4295,0.0
-56.4195,0.0
-56.4095,0.0
-56.3995,0.0
-56.3895,0.0
-56.3795,0.0
-56.3695,0.0
-56.3595,0.0
-56.3495,0.0
-56.3395,0.0
-56.3295,0.0
-56.3195,0.0
-56.3095,0.0
-56.2995,0.0
-56.2895,0.0
-56.2795,0.0
-56.2695,0.0
-56.2595,0.0
-56.2495,0.0
-56.2395,0.0
-56.2295,0.0
-56.2195,0.0
-56.2095,0.0
-56.1995,0.0
-56.1895,0.0
-56.1795,0.0
-56.1695,0.0
-56.1595,0.0
-56.1495,0.0
-56.1395,0.0
-56.1295,0.0
-56.1195,0.0
-56.1095,0.0
-56.0995,0.0
-56.0895,0.0
-56.0795,0.0
-56.0695,0.0
-56.0595,0.0
-56.0495,0.0
-56.0395,0.0
-56.0295,0.0
-56.0195,0.0
-56.0095,0.0
-55.9995,0.0
-55.9895,0.0
-55.9795,0.0
-55.9695,0.0
-55.9595,0.0
-55.9495,0.0
-55.9395,0.0
-55.9295,0.0
-55.9195,0.0
-55.9095,0.0
-55.8995,0.0
-55.8895,0.0
-55.8795,0.0
-55.8695,0.0
-55.8595,0.0
-55.8495,0.0
-55.8395,0.0
-55.8295,0.0
-55.8195,0.0
-55.8095,0.0
-55.7995,0.0
-55.7895,0.0
-55.7795,0.0
-55.7695,0.0
-55.7595,0.0
-55.7495,0.0
-55.7395,0.0
-55.7295,0.0
-55.7195,0.0
-55.7095,0.0
-55.6995,0.0
-55.6895,0.0
-55.6795,0.0
-55.6695,0.0
-55.6595,0.0
-55.6495,0.0
-55.6395,0.0
-55.6295,0.0
-55.6195,0.0
-55.6095,0.0
-55.5995,0.0
-55.5895,0.0
-55.5795,0.0
-55.5695,0.0
-55.5595,0.0
-55.5495,0.0
-55.5395,0.0
-55.5295,0.0
-55.5195,0.0
-55.5095,0.0
-55.4995,0.0
-55.4895,0.0
-55.4795,0.0
-55.4695,0.0
-55.4595,0.0
-55.4495,0.0
-55.4395,0.0
-55.4295,0.0
-55.4195,0.0
-55.4095,0.0
-55.3995,0.0
-55.3895,0.0
-55.3795,0.0
-55.3695,0.0
-55.3595,0.0
-55.3495,0.0
-55.3395,0.0
-55.3295,0.0
-55.3195,0.0
-55.3095,0.0
-55.2995,0.0
-55.2895,0.0
-55.2795,0.0
-55.2695,0.0
-55.2595,0.0
-55.2495,0.0
-55.2395,0.0
-55.2295,0.0
-55.2195,0.0
-55.2095,0.0
-55.1995,0.0
-55.1895,0.0
-55.1795,0.0
-55.1695,0.0
-55.1595,0.0
-55.1495,0.0
-55.1395,0.0
-55.1295,0.0
-55.1195,0.0
-55.1095,0.0
-55.0995,0.0
-55.0895,0.0
-55.0795,0.0
-55.0695,0.0
-55.0595,0.0
-55.0495,0.0
-55.0395,0.0
-55.0295,0.0
-55.0195,0.0
-55.0095,0.0
-54.9995,0.0
-54.9895,0.0
-54.9795,0.0
-54.9695,0.0
-54.9595,0.0
-54.9495,0.0
-54.9395,0.0
-54.9295,0.0
-54.9195,0.0
-54.9095,0.0
-54.8995,0.0
-54.8895,0.0
-54.8795,0.0
-54.8695,0.0
-54.8595,0.0
-54.8495,0.0
-54.8395,0.0
-54.8295,0.0
-54.8195,0.0
-54.8095,0.0
-54.7995,0.0
-54.7895,0.0
-54.7795,0.0
-54.7695,0.0
-54.7595,0.0
-54.7495,0.0
-54.7395,0.0
-54.7295,0.0
-54.7195,0.0
-54.7095,0.0
-54.6995,0.0
-54.6895,0.0
-54.6795,0.0
-54.6695,0.0
-54.6595,0.0
-54.6495,0.0
-54.6395,0.0
-54.6295,0.0
-54.6195,0.0
-54.6095,0.0
-54.5995,0.0
-54.5895,0.0
-54.5795,0.0
-54.5695,0.0
-54.5595,0.0
-54.5495,0.0
-54.5395,0.0
-54.5295,0.0
-54.5195,0.0
-54.5095,0.0
-54.4995,0.0
-54.4895,0.0
-54.4795,0.0
-54.4695,0.0
-54.4595,0.0
-54.4495,0.0
-54.4395,0.0
-54.4295,0.0
-54.4195,0.0
-54.4095,0.0
-54.3995,0.0
-54.3895,0.0
-54.3795,0.0
-54.3695,0.0
-54.3595,0.0
-54.3495,0.0
-54.3395,0.0
-54.3295,0.0
-54.3195,0.0
-54.3095,0.0
-54.2995,0.0
-54.2895,0.0
-54.2795,0.0
-54.2695,0.0
-54.2595,0.0
-54.2495,0.0
-54.2395,0.0
-54.2295,0.0
-54.2195,0.0
-54.2095,0.0
-54.1995,0.0
-54.1895,0.0
-54.1795,0.0
-54.1695,0.0
-54.1595,0.0
-54.1495,0.0
-54.1395,0.0
-54.1295,0.0
-54.1195,0.0
-54.1095,0.0
-54.0995,0.0
-54.0895,0.0
-54.0795,0.0
-54.0695,0.0
-54.0595,0.0
-54.0495,0.0
-54.0395,0.0
-54.0295,0.0
-54.0195,0.0
-54.0095,0.0
-53.9995,0.0
-53.9895,0.0
-53.9795,0.0
-53.9695,0.0
-53.9595,0.0
-53.9495,0.0
-53.9395,0.0
-53.9295,0.0
-53.9195,0.0
-53.9095,0.0
-53.8995,0.0
-53.8895,0.0
-53.8795,0.0
-53.8695,0.0
-53.8595,0.0
-53.8495,0.0
-53.8395,0.0
-53.8295,0.0
-53.8195,0.0
-53.8095,0.0
-53.7995,0.0
-53.7895,0.0
-53.7795,0.0
-53.7695,0.0
-53.7595,0.0
-53.7495,0.0
-53.7395,0.0
-53.7295,0.0
-53.7195,0.0
-53.7095,0.0
-53.6995,0.0
-53.6895,0.0
-53.6795,0.0
-53.6695,0.0
-53.6595,0.0
-53.6495,0.0
-53.6395,0.0
-53.6295,0.0
-53.6195,0.0
-53.6095,0.0
-53.5995,0.0
-53.5895,0.0
-53.5795,0.0
-53.5695,0.0
-53.5595,0.0
-53.5495,0.0
-53.5395,0.0
-53.5295,0.0
-53.5195,0.0
-53.5095,0.0
-53.4995,0.0
-53.4895,0.0
-53.4795,0.0
-53.4695,0.0
-53.4595,0.0
-53.4495,0.0
-53.4395,0.0
-53.4295,0.0
-53.4195,0.0
-53.4095,0.0
-53.3995,0.0
-53.3895,0.0
-53.3795,0.0
-53.3695,0.0
-53.3595,0.0
-53.3495,0.0
-53.3395,0.0
-53.3295,0.0
-53.3195,0.0
-53.3095,0.0
-53.2995,0.0
-53.2895,0.0
-53.2795,0.0
-53.2695,0.0
-53.2595,0.0
-53.2495,0.0
-53.2395,0.0
-53.2295,0.0
-53.2195,0.0
-53.2095,0.0
-53.1995,0.0
-53.1895,0.0
-53.1795,0.0
-53.1695,0.0
-53.1595,0.0
-53.1495,0.0
-53.1395,0.0
-53.1295,0.0
-53.1195,0.0
-53.1095,0.0
-53.0995,0.0
-53.0895,0.0
-53.0795,0.0
-53.0695,0.0
-53.0595,0.0
-53.0495,0.0
-53.0395,0.0
-53.0295,0.0
-53.0195,0.0
-53.0095,0.0
-52.9995,0.0
-52.9895,0.0
-52.9795,0.0
-52.9695,0.0
-52.9595,0.0
-52.9495,0.0
-52.9395,0.0
-52.9295,0.0
-52.9195,0.0
-52.9095,0.0
-52.8995,0.0
-52.8895,0.0
-52.8795,0.0
-52.8695,0.0
-52.8595,0.0
-52.8495,0.0
-52.8395,0.0
-52.8295,0.0
-52.8195,0.0
-52.8095,0.0
-52.7995,0.0
-52.7895,0.0
-52.7795,0.0
-52.7695,0.0
-52.7595,0.0
-52.7495,0.0
-52.7395,0.0
-52.7295,0.0
-52.7195,0.0
-52.7095,0.0
-52.6995,0.0
-52.6895,0.0
-52.6795,0.0
-52.6695,0.0
-52.6595,0.0
-52.6495,0.0
-52.6395,0.0
-52.6295,0.0
-52.6195,0.0
-52.6095,0.0
-52.5995,0.0
-52.5895,0.0
-52.5795,0.0
-52.5695,0.0
-52.5595,0.0
-52.5495,0.0
-52.5395,0.0
-52.5295,0.0
-52.5195,0.0
-52.5095,0.0
-52.4995,0.0
-52.4895,0.0
-52.4795,0.0
-52.4695,0.0
-52.4595,0.0
-52.4495,0.0
-52.4395,0.0
-52.4295,0.0
-52.4195,0.0
-52.4095,0.0
-52.3995,0.0
-52.3895,0.0
-52.3795,0.0
-52.3695,0.0
-52.3595,0.0
-52.3495,0.0
-52.3395,0.0
-52.3295,0.0
-52.3195,0.0
-52.3095,0.0
-52.2995,0.0
-52.2895,0.0
-52.2795,0.0
-52.2695,0.0
-52.2595,0.0
-52.2495,0.0
-52.2395,0.0
-52.2295,0.0
-52.2195,0.0
-52.2095,0.0
-52.1995,0.0
-52.1895,0.0
-52.1795,0.0
-52.1695,0.0
-52.1595,0.0
-52.1495,0.0
-52.1395,0.0
-52.1295,0.0
-52.1195,0.0
-52.1095,0.0
-52.0995,0.0
-52.0895,0.0
-52.0795,0.0
-52.0695,0.0
-52.0595,0.0
-52.0495,0.0
-52.0395,0.0
-52.0295,0.0
-52.0195,0.0
-52.0095,0.0
-51.9995,0.0
-51.9895,0.0
-51.9795,0.0
-51.9695,0.0
-51.9595,0.0
-51.9495,0.0
-51.9395,0.0
-51.9295,0.0
-51.9195,0.0
-51.9095,0.0
-51.8995,0.0
-51.8895,0.0
-51.8795,0.0
-51.8695,0.0
-51.8595,0.0
-51.8495,0.0
-51.8395,0.0
-51.8295,0.0
-51.8195,0.0
-51.8095,0.0
-51.7995,0.0
-51.7895,0.0
-51.7795,0.0
-51.7695,0.0
-51.7595,0.0
-51.7495,0.0
-51.7395,0.0
-51.7295,0.0
-51.7195,0.0
-51.7095,0.0
-51.6995,0.0
-51.6895,0.0
-51.6795,0.0
-51.6695,0.0
-51.6595,0.0
-51.6495,0.0
-51.6395,0.0
-51.6295,0.0
-51.6195,0.0
-51.6095,0.0
-51.5995,0.0
-51.5895,0.0
-51.5795,0.0
-51.5695,0.0
-51.5595,0.0
-51.5495,0.0
-51.5395,0.0
-51.5295,0.0
-51.5195,0.0
-51.5095,0.0
-51.4995,0.0
-51.4895,0.0
-51.4795,0.0
-51.4695,0.0
-51.4595,0.0
-51.4495,0.0
-51.4395,0.0
-51.4295,0.0
-51.4195,0.0
-51.4095,0.0
-51.3995,0.0
-51.3895,0.0
-51.3795,0.0
-51.3695,0.0
-51.3595,0.0
-51.3495,0.0
-51.3395,0.0
-51.3295,0.0
-51.3195,0.0
-51.3095,0.0
-51.2995,0.0
-51.2895,0.0
-51.2795,0.0
-51.2695,0.0
-51.2595,0.0
-51.2495,0.0
-51.2395,0.0
-51.2295,0.0
-51.2195,0.0
-51.2095,0.0
-51.1995,0.0
-51.1895,0.0
-51.1795,0.0
-51.1695,0.0
-51.1595,0.0
-51.1495,0.0
-51.1395,0.0
-51.1295,0.0
-51.1195,0.0
-51.1095,0.0
-51.0995,0.0
-51.0895,0.0
-51.0795,0.0
-51.0695,0.0
-51.0595,0.0
-51.0495,0.0
-51.0395,0.0
-51.0295,0.0
-51.0195,0.0
-51.0095,0.0
-50.9995,0.0
-50.9895,0.0
-50.9795,0.0
-50.9695,0.0
-50.9595,0.0
-50.9495,0.0
-50.9395,0.0
-50.9295,0.0
-50.9195,0.0
-50.9095,0.0
-50.8995,0.0
-50.8895,0.0
-50.8795,0.0
-50.8695,0.0
-50.8595,0.0
-50.8495,0.0
-50.8395,0.0
-50.8295,0.0
-50.8195,0.0
-50.8095,0.0
-50.7995,0.0
-50.7895,0.0
-50.7795,0.0
-50.7695,0.0
-50.7595,0.0
-50.7495,0.0
-50.7395,0.0
-50.7295,0.0
-50.7195,0.0
-50.7095,0.0
-50.6995,0.0
-50.6895,0.0
-50.6795,0.0
-50.6695,0.0
-50.6595,0.0
-50.6495,0.0
-50.6395,0.0
-50.6295,0.0
-50.6195,0.0
-50.6095,0.0
-50.5995,0.0
-50.5895,0.0
-50.5795,0.0
-50.5695,0.0
-50.5595,0.0
-50.5495,0.0
-50.5395,0.0
-50.5295,0.0
-50.5195,0.0
-50.5095,0.0
-50.4995,0.0
-50.4895,0.0
-50.4795,0.0
-50.4695,0.0
-50.4595,0.0
-50.4495,0.0
-50.4395,0.0
-50.4295,0.0
-50.4195,0.0
-50.4095,0.0
-50.3995,0.0
-50.3895,0.0
-50.3795,0.0
-50.3695,0.0
-50.3595,0.0
-50.3495,0.0
-50.3395,0.0
-50.3295,0.0
-50.3195,0.0
-50.3095,0.0
-50.2995,0.0
-50.2895,0.0
-50.2795,0.0
-50.2695,0.0
-50.2595,0.0
-50.2495,0.0
-50.2395,0.0
-50.2295,0.0
-50.2195,0.0
-50.2095,0.0
-50.1995,0.0
-50.1895,0.0
-50.1795,0.0
-50.1695,0.0
-50.1595,0.0
-50.1495,0.0
-50.1395,0.0
-50.1295,0.0
-50.1195,0.0
-50.1095,0.0
-50.0995,0.0
-50.0895,0.0
-50.0795,0.0
-50.0695,0.0
-50.0595,0.0
-50.0495,0.0
-50.0395,0.0
-50.0295,0.0
-50.0195,0.0
-50.0095,0.0
-49.9995,0.0
-49.9895,0.0
-49.9795,0.0
-49.9695,0.0
-49.9595,0.0
-49.9495,0.0
-49.9395,0.0
-49.9295,0.0
-49.9195,0.0
-49.9095,0.0
-49.8995,0.0
-49.8895,0.0
-49.8795,0.0
-49.8695,0.0
-49.8595,0.0
-49.8495,0.0
-49.8395,0.0
-49.8295,0.0
-49.8195,0.0
-49.8095,0.0
-49.7995,0.0
-49.7895,0.0
-49.7795,0.0
-49.7695,0.0
-49.7595,0.0
-49.7495,0.0
-49.7395,0.0
-49.7295,0.0
-49.7195,0.0
-49.7095,0.0
-49.6995,0.0
-49.6895,0.0
-49.6795,0.0
-49.6695,0.0
-49.6595,0.0
-49.6495,0.0
-49.6395,0.0
-49.6295,0.0
-49.6195,0.0
-49.6095,0.0
-49.5995,0.0
-49.5895,0.0
-49.5795,0.0
-49.5695,0.0
-49.5595,0.0
-49.5495,0.0
-49.5395,0.0
-49.5295,0.0
-49.5195,0.0
-49.5095,0.0
-49.4995,0.0
-49.4895,0.0
-49.4795,0.0
-49.4695,0.0
-49.4595,0.0
-49.4495,0.0
-49.4395,0.0
-49.4295,0.0
-49.4195,0.0
-49.4095,0.0
-49.3995,0.0
-49.3895,0.0
-49.3795,0.0
-49.3695,0.0
-49.3595,0.0
-49.3495,0.0
-49.3395,0.0
-49.3295,0.0
-49.3195,0.0
