,Mo_3pz
-81.34779999999999,0.0
-81.3378,0.0
-81.3278,0.0
-81.31779999999999,0.0
-81.3078,0.0
-81.2978,0.0
-81.28779999999999,0.0
-81.2778,0.0
-81.2678,0.0
-81.2578,0.0
-81.2478,0.0
-81.2378,0.0
-81.2278,0.0
-81.2178,0.0
-81.20779999999999,0.0
-81.1978,0.0
-81.1878,0.0
-81.17779999999999,0.0
-81.1678,0.0
-81.1578,0.0
-81.14779999999999,0.0
-81.1378,0.0
-81.1278,0.0
-81.1178,0.0
-81.1078,0.0
-81.09779999999999,0.0
-81.0878,0.0
-81.0778,0.0
-81.06779999999999,0.0
-81.0578,0.0
-81.0478,0.0
-81.03779999999999,0.0
-81.0278,0.0
-81.0178,0.0
-81.0078,0.0
-80.9978,0.0
-80.9878,0.0
-80.9778,0.0
-80.9678,0.0
-80.95779999999999,0.0
-80.9478,0.0
-80.9378,0.0
-80.92779999999999,0.0
-80.9178,0.0
-80.9078,0.0
-80.89779999999999,0.0
-80.8878,0.0
-80.8778,0.0
-80.8678,0.0
-80.8578,0.0
-80.84779999999999,0.0
-80.8378,0.0
-80.8278,0.0
-80.81779999999999,0.0
-80.8078,0.0
-80.7978,0.0
-80.78779999999999,0.0
-80.7778,0.0
-80.7678,0.0
-80.7578,0.0
-80.7478,0.0
-80.7378,0.0
-80.7278,0.0
-80.7178,0.0
-80.70779999999999,0.0
-80.6978,0.0
-80.6878,0.0
-80.67779999999999,0.0
-80.6678,0.0
-80.6578,0.0
-80.64779999999999,0.0
-80.6378,0.0
-80.6278,0.0
-80.6178,0.0
-80.6078,0.0
-80.59779999999999,0.0
-80.5878,0.0
-80.5778,0.0
-80.56779999999999,0.0
-80.5578,0.0
-80.5478,0.0
-80.53779999999999,0.0
-80.5278,0.0
-80.5178,0.0
-80.5078,0.0
-80.4978,0.0
-80.4878,0.0
-80.4778,0.0
-80.4678,0.0
-80.45779999999999,0.0
-80.4478,0.0
-80.4378,0.0
-80.42779999999999,0.0
-80.4178,0.0
-80.4078,0.0
-80.39779999999999,0.0
-80.3878,0.0
-80.3778,0.0
-80.3678,0.0
-80.3578,0.0
-80.34779999999999,0.0
-80.3378,0.0
-80.3278,0.0
-80.31779999999999,0.0
-80.3078,0.0
-80.2978,0.0
-80.28779999999999,0.0
-80.2778,0.0
-80.2678,0.0
-80.2578,0.0
-80.2478,0.0
-80.2378,0.0
-80.2278,0.0
-80.2178,0.0
-80.20779999999999,0.0
-80.1978,0.0
-80.1878,0.0
-80.17779999999999,0.0
-80.1678,0.0
-80.1578,0.0
-80.14779999999999,0.0
-80.1378,0.0
-80.1278,0.0
-80.1178,0.0
-80.1078,0.0
-80.09779999999999,0.0
-80.0878,0.0
-80.0778,0.0
-80.06779999999999,0.0
-80.0578,0.0
-80.0478,0.0
-80.03779999999999,0.0
-80.0278,0.0
-80.0178,0.0
-80.0078,0.0
-79.9978,0.0
-79.9878,0.0
-79.9778,0.0
-79.9678,0.0
-79.95779999999999,0.0
-79.9478,0.0
-79.9378,0.0
-79.92779999999999,0.0
-79.9178,0.0
-79.9078,0.0
-79.89779999999999,0.0
-79.8878,0.0
-79.8778,0.0
-79.8678,0.0
-79.8578,0.0
-79.84779999999999,0.0
-79.8378,0.0
-79.8278,0.0
-79.81779999999999,0.0
-79.8078,0.0
-79.7978,0.0
-79.78779999999999,0.0
-79.7778,0.0
-79.7678,0.0
-79.7578,0.0
-79.7478,0.0
-79.7378,0.0
-79.7278,0.0
-79.7178,0.0
-79.70779999999999,0.0
-79.6978,0.0
-79.6878,0.0
-79.67779999999999,0.0
-79.6678,0.0
-79.6578,0.0
-79.64779999999999,0.0
-79.6378,0.0
-79.6278,0.0
-79.6178,0.0
-79.6078,0.0
-79.59779999999999,0.0
-79.5878,0.0
-79.5778,0.0
-79.56779999999999,0.0
-79.5578,0.0
-79.5478,0.0
-79.53779999999999,0.0
-79.5278,0.0
-79.5178,0.0
-79.5078,0.0
-79.4978,0.0
-79.4878,0.0
-79.4778,0.0
-79.4678,0.0
-79.45779999999999,0.0
-79.4478,0.0
-79.4378,0.0
-79.42779999999999,0.0
-79.4178,0.0
-79.4078,0.0
-79.39779999999999,0.0
-79.3878,0.0
-79.3778,0.0
-79.3678,0.0
-79.3578,0.0
-79.34779999999999,0.0
-79.3378,0.0
-79.3278,0.0
-79.31779999999999,0.0
-79.3078,0.0
-79.2978,0.0
-79.28779999999999,0.0
-79.2778,0.0
-79.2678,0.0
-79.2578,0.0
-79.2478,0.0
-79.2378,0.0
-79.2278,0.0
-79.2178,0.0
-79.20779999999999,0.0
-79.1978,0.0
-79.1878,0.0
-79.17779999999999,0.0
-79.1678,0.0
-79.1578,0.0
-79.14779999999999,0.0
-79.1378,0.0
-79.1278,0.0
-79.1178,0.0
-79.1078,0.0
-79.09779999999999,0.0
-79.0878,0.0
-79.0778,0.0
-79.06779999999999,0.0
-79.0578,0.0
-79.0478,0.0
-79.03779999999999,0.0
-79.0278,0.0
-79.0178,0.0
-79.0078,0.0
-78.9978,0.0
-78.9878,0.0
-78.9778,0.0
-78.9678,0.0
-78.95779999999999,0.0
-78.9478,0.0
-78.9378,0.0
-78.92779999999999,0.0
-78.9178,0.0
-78.9078,0.0
-78.89779999999999,0.0
-78.8878,0.0
-78.8778,0.0
-78.8678,0.0
-78.8578,0.0
-78.84779999999999,0.0
-78.8378,0.0
-78.8278,0.0
-78.81779999999999,0.0
-78.8078,0.0
-78.7978,0.0
-78.78779999999999,0.0
-78.7778,0.0
-78.7678,0.0
-78.7578,0.0
-78.7478,0.0
-78.7378,0.0
-78.7278,0.0
-78.7178,0.0
-78.70779999999999,0.0
-78.6978,0.0
-78.6878,0.0
-78.67779999999999,0.0
-78.6678,0.0
-78.6578,0.0
-78.64779999999999,0.0
-78.6378,0.0
-78.6278,0.0
-78.6178,0.0
-78.6078,0.0
-78.59779999999999,0.0
-78.5878,0.0
-78.5778,0.0
-78.56779999999999,0.0
-78.5578,0.0
-78.5478,0.0
-78.53779999999999,0.0
-78.5278,0.0
-78.5178,0.0
-78.5078,0.0
-78.4978,0.0
-78.4878,0.0
-78.4778,0.0
-78.4678,0.0
-78.45779999999999,0.0
-78.4478,0.0
-78.4378,0.0
-78.42779999999999,0.0
-78.4178,0.0
-78.4078,0.0
-78.39779999999999,0.0
-78.3878,0.0
-78.3778,0.0
-78.3678,0.0
-78.3578,0.0
-78.34779999999999,0.0
-78.3378,0.0
-78.3278,0.0
-78.31779999999999,0.0
-78.3078,0.0
-78.2978,0.0
-78.28779999999999,0.0
-78.2778,0.0
-78.2678,0.0
-78.2578,0.0
-78.2478,0.0
-78.2378,0.0
-78.2278,0.0
-78.2178,0.0
-78.20779999999999,0.0
-78.1978,0.0
-78.1878,0.0
-78.17779999999999,0.0
-78.1678,0.0
-78.1578,0.0
-78.14779999999999,0.0
-78.1378,0.0
-78.1278,0.0
-78.1178,0.0
-78.1078,0.0
-78.09779999999999,0.0
-78.0878,0.0
-78.0778,0.0
-78.06779999999999,0.0
-78.0578,0.0
-78.0478,0.0
-78.03779999999999,0.0
-78.0278,0.0
-78.0178,0.0
-78.0078,0.0
-77.9978,0.0
-77.9878,0.0
-77.9778,0.0
-77.9678,0.0
-77.95779999999999,0.0
-77.9478,0.0
-77.9378,0.0
-77.92779999999999,0.0
-77.9178,0.0
-77.9078,0.0
-77.89779999999999,0.0
-77.8878,0.0
-77.8778,0.0
-77.8678,0.0
-77.8578,0.0
-77.84779999999999,0.0
-77.8378,0.0
-77.8278,0.0
-77.81779999999999,0.0
-77.8078,0.0
-77.7978,0.0
-77.78779999999999,0.0
-77.7778,0.0
-77.7678,0.0
-77.7578,0.0
-77.7478,0.0
-77.7378,0.0
-77.7278,0.0
-77.7178,0.0
-77.70779999999999,0.0
-77.6978,0.0
-77.6878,0.0
-77.67779999999999,0.0
-77.6678,0.0
-77.6578,0.0
-77.64779999999999,0.0
-77.6378,0.0
-77.6278,0.0
-77.6178,0.0
-77.6078,0.0
-77.59779999999999,0.0
-77.5878,0.0
-77.5778,0.0
-77.56779999999999,0.0
-77.5578,0.0
-77.5478,0.0
-77.53779999999999,0.0
-77.5278,0.0
-77.5178,0.0
-77.5078,0.0
-77.4978,0.0
-77.4878,0.0
-77.4778,0.0
-77.4678,0.0
-77.45779999999999,0.0
-77.4478,0.0
-77.4378,0.0
-77.42779999999999,0.0
-77.4178,0.0
-77.4078,0.0
-77.39779999999999,0.0
-77.3878,0.0
-77.3778,0.0
-77.3678,0.0
-77.3578,0.0
-77.34779999999999,0.0
-77.3378,0.0
-77.3278,0.0
-77.31779999999999,0.0
-77.3078,0.0
-77.2978,0.0
-77.28779999999999,0.0
-77.2778,0.0
-77.2678,0.0
-77.2578,0.0
-77.2478,0.0
-77.2378,0.0
-77.2278,0.0
-77.2178,0.0
-77.20779999999999,0.0
-77.1978,0.0
-77.1878,0.0
-77.17779999999999,0.0
-77.1678,0.0
-77.1578,0.0
-77.14779999999999,0.0
-77.1378,0.0
-77.1278,0.0
-77.1178,0.0
-77.1078,0.0
-77.09779999999999,0.0
-77.0878,0.0
-77.0778,0.0
-77.06779999999999,0.0
-77.0578,0.0
-77.0478,0.0
-77.03779999999999,0.0
-77.0278,0.0
-77.0178,0.0
-77.0078,0.0
-76.9978,0.0
-76.9878,0.0
-76.9778,0.0
-76.9678,0.0
-76.95779999999999,0.0
-76.9478,0.0
-76.9378,0.0
-76.92779999999999,0.0
-76.9178,0.0
-76.9078,0.0
-76.89779999999999,0.0
-76.8878,0.0
-76.8778,0.0
-76.8678,0.0
-76.8578,0.0
-76.84779999999999,0.0
-76.8378,0.0
-76.8278,0.0
-76.81779999999999,0.0
-76.8078,0.0
-76.7978,0.0
-76.78779999999999,0.0
-76.7778,0.0
-76.7678,0.0
-76.7578,0.0
-76.7478,0.0
-76.7378,0.0
-76.7278,0.0
-76.7178,0.0
-76.70779999999999,0.0
-76.6978,0.0
-76.6878,0.0
-76.67779999999999,0.0
-76.6678,0.0
-76.6578,0.0
-76.64779999999999,0.0
-76.6378,0.0
-76.6278,0.0
-76.6178,0.0
-76.6078,0.0
-76.59779999999999,0.0
-76.5878,0.0
-76.5778,0.0
-76.56779999999999,0.0
-76.5578,0.0
-76.5478,0.0
-76.53779999999999,0.0
-76.5278,0.0
-76.5178,0.0
-76.5078,0.0
-76.4978,0.0
-76.4878,0.0
-76.4778,0.0
-76.4678,0.0
-76.45779999999999,0.0
-76.4478,0.0
-76.4378,0.0
-76.42779999999999,0.0
-76.4178,0.0
-76.4078,0.0
-76.39779999999999,0.0
-76.3878,0.0
-76.3778,0.0
-76.3678,0.0
-76.3578,0.0
-76.34779999999999,0.0
-76.3378,0.0
-76.3278,0.0
-76.31779999999999,0.0
-76.3078,0.0
-76.2978,0.0
-76.28779999999999,0.0
-76.2778,0.0
-76.2678,0.0
-76.2578,0.0
-76.2478,0.0
-76.2378,0.0
-76.2278,0.0
-76.2178,0.0
-76.20779999999999,0.0
-76.1978,0.0
-76.1878,0.0
-76.17779999999999,0.0
-76.1678,0.0
-76.1578,0.0
-76.14779999999999,0.0
-76.1378,0.0
-76.1278,0.0
-76.1178,0.0
-76.1078,0.0
-76.09779999999999,0.0
-76.0878,0.0
-76.0778,0.0
-76.06779999999999,0.0
-76.0578,0.0
-76.0478,0.0
-76.03779999999999,0.0
-76.0278,0.0
-76.0178,0.0
-76.0078,0.0
-75.9978,0.0
-75.9878,0.0
-75.9778,0.0
-75.9678,0.0
-75.95779999999999,0.0
-75.9478,0.0
-75.9378,0.0
-75.92779999999999,0.0
-75.9178,0.0
-75.9078,0.0
-75.89779999999999,0.0
-75.8878,0.0
-75.8778,0.0
-75.8678,0.0
-75.8578,0.0
-75.84779999999999,0.0
-75.8378,0.0
-75.8278,0.0
-75.81779999999999,0.0
-75.8078,0.0
-75.7978,0.0
-75.78779999999999,0.0
-75.7778,0.0
-75.7678,0.0
-75.7578,0.0
-75.7478,0.0
-75.7378,0.0
-75.7278,0.0
-75.7178,0.0
-75.70779999999999,0.0
-75.6978,0.0
-75.6878,0.0
-75.67779999999999,0.0
-75.6678,0.0
-75.6578,0.0
-75.64779999999999,0.0
-75.6378,0.0
-75.6278,0.0
-75.6178,0.0
-75.6078,0.0
-75.59779999999999,0.0
-75.5878,0.0
-75.5778,0.0
-75.56779999999999,0.0
-75.5578,0.0
-75.5478,0.0
-75.53779999999999,0.0
-75.5278,0.0
-75.5178,0.0
-75.5078,0.0
-75.4978,0.0
-75.4878,0.0
-75.4778,0.0
-75.4678,0.0
-75.45779999999999,0.0
-75.4478,0.0
-75.4378,0.0
-75.42779999999999,0.0
-75.4178,0.0
-75.4078,0.0
-75.39779999999999,0.0
-75.3878,0.0
-75.3778,0.0
-75.3678,0.0
-75.3578,0.0
-75.34779999999999,0.0
-75.3378,0.0
-75.3278,0.0
-75.31779999999999,0.0
-75.3078,0.0
-75.2978,0.0
-75.28779999999999,0.0
-75.2778,0.0
-75.2678,0.0
-75.2578,0.0
-75.2478,0.0
-75.2378,0.0
-75.2278,0.0
-75.2178,0.0
-75.20779999999999,0.0
-75.1978,0.0
-75.1878,0.0
-75.17779999999999,0.0
-75.1678,0.0
-75.1578,0.0
-75.14779999999999,0.0
-75.1378,0.0
-75.1278,0.0
-75.1178,0.0
-75.1078,0.0
-75.09779999999999,0.0
-75.0878,0.0
-75.0778,0.0
-75.06779999999999,0.0
-75.0578,0.0
-75.0478,0.0
-75.03779999999999,0.0
-75.0278,0.0
-75.0178,0.0
-75.0078,0.0
-74.9978,0.0
-74.9878,0.0
-74.9778,0.0
-74.9678,0.0
-74.95779999999999,0.0
-74.9478,0.0
-74.9378,0.0
-74.92779999999999,0.0
-74.9178,0.0
-74.9078,0.0
-74.89779999999999,0.0
-74.8878,0.0
-74.8778,0.0
-74.8678,0.0
-74.8578,0.0
-74.84779999999999,0.0
-74.8378,0.0
-74.8278,0.0
-74.81779999999999,0.0
-74.8078,0.0
-74.7978,0.0
-74.78779999999999,0.0
-74.7778,0.0
-74.7678,0.0
-74.7578,0.0
-74.7478,0.0
-74.7378,0.0
-74.7278,0.0
-74.7178,0.0
-74.70779999999999,0.0
-74.6978,0.0
-74.6878,0.0
-74.67779999999999,0.0
-74.6678,0.0
-74.6578,0.0
-74.64779999999999,0.0
-74.6378,0.0
-74.6278,0.0
-74.6178,0.0
-74.6078,0.0
-74.59779999999999,0.0
-74.5878,0.0
-74.5778,0.0
-74.56779999999999,0.0
-74.5578,0.0
-74.5478,0.0
-74.53779999999999,0.0
-74.5278,0.0
-74.5178,0.0
-74.5078,0.0
-74.4978,0.0
-74.4878,0.0
-74.4778,0.0
-74.4678,0.0
-74.45779999999999,0.0
-74.4478,0.0
-74.4378,0.0
-74.42779999999999,0.0
-74.4178,0.0
-74.4078,0.0
-74.39779999999999,0.0
-74.3878,0.0
-74.3778,0.0
-74.3678,0.0
-74.3578,0.0
-74.34779999999999,0.0
-74.3378,0.0
-74.3278,0.0
-74.31779999999999,0.0
-74.3078,0.0
-74.2978,0.0
-74.28779999999999,0.0
-74.2778,0.0
-74.2678,0.0
-74.2578,0.0
-74.2478,0.0
-74.2378,0.0
-74.2278,0.0
-74.2178,0.0
-74.20779999999999,0.0
-74.1978,0.0
-74.1878,0.0
-74.17779999999999,0.0
-74.1678,0.0
-74.1578,0.0
-74.14779999999999,0.0
-74.1378,0.0
-74.1278,0.0
-74.1178,0.0
-74.1078,0.0
-74.09779999999999,0.0
-74.0878,0.0
-74.0778,0.0
-74.06779999999999,0.0
-74.0578,0.0
-74.0478,0.0
-74.03779999999999,0.0
-74.0278,0.0
-74.0178,0.0
-74.0078,0.0
-73.9978,0.0
-73.9878,0.0
-73.9778,0.0
-73.9678,0.0
-73.95779999999999,0.0
-73.9478,0.0
-73.9378,0.0
-73.92779999999999,0.0
-73.9178,0.0
-73.9078,0.0
-73.89779999999999,0.0
-73.8878,0.0
-73.8778,0.0
-73.8678,0.0
-73.8578,0.0
-73.84779999999999,0.0
-73.8378,0.0
-73.8278,0.0
-73.81779999999999,0.0
-73.8078,0.0
-73.7978,0.0
-73.78779999999999,0.0
-73.7778,0.0
-73.7678,0.0
-73.7578,0.0
-73.7478,0.0
-73.7378,0.0
-73.7278,0.0
-73.7178,0.0
-73.70779999999999,0.0
-73.6978,0.0
-73.6878,0.0
-73.67779999999999,0.0
-73.6678,0.0
-73.6578,0.0
-73.64779999999999,0.0
-73.6378,0.0
-73.6278,0.0
-73.6178,0.0
-73.6078,0.0
-73.59779999999999,0.0
-73.5878,0.0
-73.5778,0.0
-73.56779999999999,0.0
-73.5578,0.0
-73.5478,0.0
-73.53779999999999,0.0
-73.5278,0.0
-73.5178,0.0
-73.5078,0.0
-73.4978,0.0
-73.4878,0.0
-73.4778,0.0
-73.4678,0.0
-73.45779999999999,0.0
-73.4478,0.0
-73.4378,0.0
-73.42779999999999,0.0
-73.4178,0.0
-73.4078,0.0
-73.39779999999999,0.0
-73.3878,0.0
-73.3778,0.0
-73.3678,0.0
-73.3578,0.0
-73.34779999999999,0.0
-73.3378,0.0
-73.3278,0.0
-73.31779999999999,0.0
-73.3078,0.0
-73.2978,0.0
-73.28779999999999,0.0
-73.2778,0.0
-73.2678,0.0
-73.2578,0.0
-73.2478,0.0
-73.2378,0.0
-73.2278,0.0
-73.2178,0.0
-73.20779999999999,0.0
-73.1978,0.0
-73.1878,0.0
-73.17779999999999,0.0
-73.1678,0.0
-73.1578,0.0
-73.14779999999999,0.0
-73.1378,0.0
-73.1278,0.0
-73.1178,0.0
-73.1078,0.0
-73.09779999999999,0.0
-73.0878,0.0
-73.0778,0.0
-73.06779999999999,0.0
-73.0578,0.0
-73.0478,0.0
-73.03779999999999,0.0
-73.0278,0.0
-73.0178,0.0
-73.0078,0.0
-72.9978,0.0
-72.9878,0.0
-72.9778,0.0
-72.9678,0.0
-72.95779999999999,0.0
-72.9478,0.0
-72.9378,0.0
-72.92779999999999,0.0
-72.9178,0.0
-72.9078,0.0
-72.89779999999999,0.0
-72.8878,0.0
-72.8778,0.0
-72.8678,0.0
-72.8578,0.0
-72.84779999999999,0.0
-72.8378,0.0
-72.8278,0.0
-72.81779999999999,0.0
-72.8078,0.0
-72.7978,0.0
-72.78779999999999,0.0
-72.7778,0.0
-72.7678,0.0
-72.7578,0.0
-72.7478,0.0
-72.7378,0.0
-72.7278,0.0
-72.7178,0.0
-72.70779999999999,0.0
-72.6978,0.0
-72.6878,0.0
-72.67779999999999,0.0
-72.6678,0.0
-72.6578,0.0
-72.64779999999999,0.0
-72.6378,0.0
-72.6278,0.0
-72.6178,0.0
-72.6078,0.0
-72.59779999999999,0.0
-72.5878,0.0
-72.5778,0.0
-72.56779999999999,0.0
-72.5578,0.0
-72.5478,0.0
-72.53779999999999,0.0
-72.5278,0.0
-72.5178,0.0
-72.5078,0.0
-72.4978,0.0
-72.4878,0.0
-72.4778,0.0
-72.4678,0.0
-72.45779999999999,0.0
-72.4478,0.0
-72.4378,0.0
-72.42779999999999,0.0
-72.4178,0.0
-72.4078,0.0
-72.39779999999999,0.0
-72.3878,0.0
-72.3778,0.0
-72.3678,0.0
-72.3578,0.0
-72.34779999999999,0.0
-72.3378,0.0
-72.3278,0.0
-72.31779999999999,0.0
-72.3078,0.0
-72.2978,0.0
-72.28779999999999,0.0
-72.2778,0.0
-72.2678,0.0
-72.2578,0.0
-72.2478,0.0
-72.2378,0.0
-72.2278,0.0
-72.2178,0.0
-72.20779999999999,0.0
-72.1978,0.0
-72.1878,0.0
-72.17779999999999,0.0
-72.1678,0.0
-72.1578,0.0
-72.14779999999999,0.0
-72.1378,0.0
-72.1278,0.0
-72.1178,0.0
-72.1078,0.0
-72.09779999999999,0.0
-72.0878,0.0
-72.0778,0.0
-72.06779999999999,0.0
-72.0578,0.0
-72.0478,0.0
-72.03779999999999,0.0
-72.0278,0.0
-72.0178,0.0
-72.0078,0.0
-71.9978,0.0
-71.9878,0.0
-71.9778,0.0
-71.9678,0.0
-71.95779999999999,0.0
-71.9478,0.0
-71.9378,0.0
-71.92779999999999,0.0
-71.9178,0.0
-71.9078,0.0
-71.89779999999999,0.0
-71.8878,0.0
-71.8778,0.0
-71.8678,0.0
-71.8578,0.0
-71.84779999999999,0.0
-71.8378,0.0
-71.8278,0.0
-71.81779999999999,0.0
-71.8078,0.0
-71.7978,0.0
-71.78779999999999,0.0
-71.7778,0.0
-71.7678,0.0
-71.7578,0.0
-71.7478,0.0
-71.7378,0.0
-71.7278,0.0
-71.7178,0.0
-71.70779999999999,0.0
-71.6978,0.0
-71.6878,0.0
-71.67779999999999,0.0
-71.6678,0.0
-71.6578,0.0
-71.64779999999999,0.0
-71.6378,0.0
-71.6278,0.0
-71.6178,0.0
-71.6078,0.0
-71.59779999999999,0.0
-71.5878,0.0
-71.5778,0.0
-71.56779999999999,0.0
-71.5578,0.0
-71.5478,0.0
-71.53779999999999,0.0
-71.5278,0.0
-71.5178,0.0
-71.5078,0.0
-71.4978,0.0
-71.4878,0.0
-71.4778,0.0
-71.4678,0.0
-71.45779999999999,0.0
-71.4478,0.0
-71.4378,0.0
-71.42779999999999,0.0
-71.4178,0.0
-71.4078,0.0
-71.39779999999999,0.0
-71.3878,0.0
-71.3778,0.0
-71.3678,0.0
-71.3578,0.0
-71.34779999999999,0.0
-71.3378,0.0
-71.3278,0.0
-71.31779999999999,0.0
-71.3078,0.0
-71.2978,0.0
-71.28779999999999,0.0
-71.2778,0.0
-71.2678,0.0
-71.2578,0.0
-71.2478,0.0
-71.2378,0.0
-71.2278,0.0
-71.2178,0.0
-71.20779999999999,0.0
-71.1978,0.0
-71.1878,0.0
-71.17779999999999,0.0
-71.1678,0.0
-71.1578,0.0
-71.14779999999999,0.0
-71.1378,0.0
-71.1278,0.0
-71.1178,0.0
-71.1078,0.0
-71.09779999999999,0.0
-71.0878,0.0
-71.0778,0.0
-71.06779999999999,0.0
-71.0578,0.0
-71.0478,0.0
-71.03779999999999,0.0
-71.0278,0.0
-71.0178,0.0
-71.0078,0.0
-70.9978,0.0
-70.9878,0.0
